City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,jutai,-5.1833,-68.9,81.84,83,99,0.89,BR,1674754811
311,shimoda,34.6667,138.95,37.11,66,87,17.63,JP,1674754812
312,axim,4.8699,-2.2405,81.59,78,20,9.55,GH,1674754813
313,barcelona,41.3888,2.159,48.74,70,20,5.75,ES,1674754787
314,kukes,42.0769,20.4219,37.36,99,100,6.13,AL,1674754813
315,hambantota,6.1241,81.1185,75.54,100,20,3.44,LK,1674754814
316,kayan,16.9056,96.5631,77.14,65,77,6.91,MM,1674754814
317,tuatapere,-46.1333,167.6833,57.63,87,93,3.22,NZ,1674754815
318,saint-louis,16.3333,-15.0,100.04,12,95,7.63,SN,1674754815
319,huron,41.1501,-82.5499,33.69,89,99,11.68,US,1674754816
320,sur,22.5667,59.5289,66.49,55,19,5.1,OM,1674754816
321,tchaourou,8.8865,2.5975,91.35,15,0,1.21,BJ,1674754817
322,nouadhibou,20.931,-17.0347,82.38,28,36,10.36,MR,1674754817
323,hare bay,48.8499,-54.0148,24.19,77,84,10.13,CA,1674754818
324,hualmay,-11.0964,-77.6139,76.77,69,79,9.64,PE,1674754818
325,port macquarie,-31.4333,152.9167,69.89,94,46,4.52,AU,1674754819
326,sambava,-14.2667,50.1667,77.29,89,100,8.52,MG,1674754819
327,quatre cocos,-20.2078,57.7625,77.09,89,95,7.23,MU,1674754820
328,byron bay,-28.65,153.6167,73.71,87,98,8.46,AU,1674754820
329,kaminoyama,38.1539,140.2736,27.9,94,100,3.71,JP,1674754821
330,nabire,-3.3667,135.4833,75.63,92,100,3.13,ID,1674754821
331,orchard homes,46.8633,-114.0484,40.59,88,100,4.61,US,1674754822
332,havre-saint-pierre,50.2334,-63.5986,19.4,86,100,28.77,CA,1674754822
333,atambua,-9.1061,124.8925,74.48,81,57,1.7,ID,1674754823
334,hervey bay,-25.2986,152.8535,76.62,81,98,4.29,AU,1674754823
335,carballo,43.213,-8.691,49.77,86,86,14.18,ES,1674754824
336,rio gallegos,-51.6226,-69.2181,60.85,31,75,20.71,AR,1674754824
337,abdanan,32.9926,47.4198,44.94,71,41,1.57,IR,1674754825
338,cairns,-16.9167,145.7667,78.75,90,75,8.05,AU,1674754744
339,clyde river,70.4692,-68.5914,-19.97,76,75,2.3,CA,1674754826
340,piacabucu,-10.4056,-36.4344,84.7,63,14,15.57,BR,1674754826
341,djambala,-2.5447,14.7533,73.67,77,43,3.89,CG,1674754827
342,elbrus,43.2577,42.6443,20.77,39,0,0.69,RU,1674754828
343,edd,13.9297,41.6925,80.47,61,8,13.76,ER,1674754828
344,nemuro,43.3236,145.575,21.92,73,66,24.7,JP,1674754829
345,saint-leu,-21.15,55.2833,80.31,84,58,9.42,RE,1674754829
346,rzhaksa,52.1338,42.0264,16.0,86,58,7.43,RU,1674754830
347,morondava,-20.2833,44.2833,80.91,87,100,31.92,MG,1674754831
348,calamar,10.2511,-74.9146,93.88,32,97,4.63,CO,1674754832
349,soyo,-6.1349,12.3689,81.3,80,89,10.42,AO,1674754832
350,annau,37.8876,58.516,33.3,51,0,4.61,TM,1674754833
351,passo de camaragibe,-9.2368,-35.4901,89.15,54,9,11.92,BR,1674754833
352,hojai,26.0,92.8667,62.64,63,69,2.8,IN,1674754833
353,necochea,-38.5473,-58.7368,85.98,46,74,10.51,AR,1674754834
354,terney,45.0503,136.6092,-6.11,77,0,13.65,RU,1674754834
355,tabuk,17.4189,121.4443,68.0,91,86,2.68,PH,1674754835
